num_ip,reg_time,country,registrar,tld,dot_num,avg_host,max_host,avg_path,max_path,class
0,,,,com,2,2.6666666666666665,7,3.2,4,bad
2,1172160000,,TUCOWS INC.,com,2,3.0,7,3.4,5,bad
2,1172160000,,TUCOWS INC.,com,2,2.8333333333333335,7,3.0,4,bad
2,1172160000,,TUCOWS INC.,com,2,3.0,7,3.0,4,bad
2,1172160000,,TUCOWS INC.,kr,2,3.3333333333333335,5,4.75,8,bad
0,,,,uk,1,3.5,5,4.666666666666667,5,bad
0,,,,com,1,6.0,8,6.333333333333333,10,bad
2,825091200,FR,ONLINE SAS,ru,1,6.0,9,3.6666666666666665,5,bad
0,,,RU-CENTER-RU,ws,0,11.0,11,3.6666666666666665,5,bad
4,1103299200,US,DNC HOLDINGS INC.,tk,0,8.0,8,3.3333333333333335,4,bad
0,,,,tk,0,10.0,10,3.6666666666666665,5,bad
0,,,,com,1,7.5,12,4.0,5,bad
2,915984000,US,,com,1,7.5,12,2.0,4,bad
2,915984000,US,,com,0,6.0,6,4.5,6,bad
4,1283270400,,,kr,2,5.0,7,7.0,12,bad
0,,,,org,0,6.0,6,4.25,6,bad
3,1252857600,CA,TUCOWS INC.,org,0,6.0,6,3.75,6,bad
3,1252857600,CA,TUCOWS INC.,tk,0,12.0,12,1.0,2,bad
0,,,,tk,0,4.0,6,1.0,2,bad
0,,,,tk,0,5.0,6,1.0,2,bad
0,,,,tk,0,5.0,6,1.0,2,bad
0,,,,tk,0,6.0,6,4.0,5,bad
0,,,,tk,0,6.0,6,3.6666666666666665,4,bad
0,,,,tk,0,4.0,6,1.0,2,bad
0,,,,tk,0,9.0,9,3.6666666666666665,5,bad
0,,,,tk,0,9.0,9,3.3333333333333335,4,bad
0,,,,tk,0,5.5,6,1.0,2,bad
0,,,,tk,0,5.5,6,1.0,2,bad
0,,,,tk,0,5.5,6,1.0,2,bad
0,,,,tk,0,9.0,9,3.6666666666666665,4,bad
0,,,,tk,0,9.0,9,4.0,5,bad
0,,,,tk,0,5.5,6,1.0,2,bad
0,,,,tk,0,5.0,6,1.0,2,bad
0,,,,tk,0,3.5,4,1.0,2,bad
0,,,,tk,0,5.0,8,1.0,2,bad
0,,,,tk,0,7.0,7,3.6666666666666665,5,bad
0,,,,tk,0,7.0,7,3.3333333333333335,4,bad
0,,,,tk,0,3.5,4,1.0,2,bad
0,,,,tk,0,6.0,6,3.6666666666666665,5,bad
0,,,,tk,0,6.0,6,3.3333333333333335,4,bad
0,,,,com,0,6.0,6,4.333333333333333,6,bad
2,1273507200,,,tk,0,8.0,8,3.3333333333333335,5,bad
0,,,,tk,0,8.0,8,3.0,4,bad
0,,,,tk,0,7.0,7,3.3333333333333335,4,bad
0,,,,tk,0,7.0,7,3.3333333333333335,4,bad
0,,,,tk,0,7.0,7,3.3333333333333335,4,bad
0,,,,tk,0,7.0,7,3.3333333333333335,4,bad
0,,,,tk,0,4.5,6,1.0,2,bad
0,,,,tk,0,4.0,5,1.0,2,bad
0,,,,tk,0,5.0,7,1.0,2,bad
0,,,,com,0,9.0,9,3.6,6,bad
2,1062086400,KR,GABIA INC.,ws,0,4.0,4,8.0,19,bad
0,,,,ru,2,6.0,12,3.5,4,bad
0,,,,ru,2,6.0,12,5.0,7,bad
0,,,,tk,0,6.5,10,1.0,2,bad
0,,,,tk,0,6.5,9,1.0,2,bad
0,,,,com,0,14.0,14,5.25,8,bad
2,1456675200,,,kr,1,3.0,4,2.6666666666666665,4,bad
0,,,,com,0,5.0,5,4.0,6,bad
2,841334400,KR,,tk,0,6.5,10,1.0,2,bad
0,,,,su,1,6.5,8,5.0,6,bad
0,,,,tk,0,5.5,8,1.0,2,bad
0,,,,tk,0,5.0,7,1.0,2,bad
0,,,,tk,0,9.0,11,1.0,2,bad
0,,,,tk,0,8.5,10,1.0,2,bad
0,,,,tk,0,8.5,10,1.0,2,bad
0,,,,tk,0,8.5,10,1.0,2,bad
0,,,,tk,0,8.0,9,1.0,2,bad
0,,,,tk,0,5.5,6,1.0,2,bad
0,,,,tk,0,7.5,12,1.0,2,bad
0,,,,tk,0,4.5,6,1.0,2,bad
0,,,,com,0,10.0,10,4.0,5,bad
4,1298304000,,,tk,0,7.5,8,1.0,2,bad
0,,,,com.br,2,6.25,11,3.0,3,bad
0,,,,com,0,21.0,21,6.0,12,bad
2,1221753600,,MELBOURNE IT LTD. D/B/A INTERNET NAMES WORLDWIDE,eu,0,13.0,13,5.090909090909091,12,bad
0,,,,com,1,15.5,19,4.25,7,bad
2,1175356800,,TUCOWS.COM CO.,com,1,4.666666666666667,6,0.0,0,bad
2,1029600000,SINGAPORE,IP MIRROR PTE LTD,com,1,6.0,8,0.0,0,bad
2,1029600000,SINGAPORE,IP MIRROR PTE LTD,com.hk,0,14.0,14,5.142857142857143,9,bad
0,,,,com,0,12.0,12,0.0,0,bad
2,1197216000,,TUCOWS.COM CO.,com,1,4.25,6,0.0,0,bad
2,1029600000,SINGAPORE,IP MIRROR PTE LTD,com,0,17.0,17,5.222222222222222,9,bad
2,1217779200,,ENOM INC.,ru,1,5.0,6,0.0,0,bad
0,,,R01-RU,ru,1,4.0,5,0.0,0,bad
0,,,,com,1,10.0,11,13.5,24,bad
4,,,,com,1,5.0,8,3.8333333333333335,7,bad
2,1451836800,US,GODADDY.COM LLC,com,0,8.0,8,3.8,7,bad
2,1078761600,UA,INTERNET INVEST LTD. DBA IMENA.UA,nl,0,8.0,8,0.0,0,bad
0,,,,com,0,10.0,10,5.0,8,bad
6,1282406400,RU,BIZCN.COMINC.,com,0,12.0,12,2.5,3,bad
4,1301414400,,BIZCN.COM INC.,com,0,10.0,10,11.75,29,bad
6,1282406400,RU,BIZCN.COMINC.,tk,0,8.0,8,9.0,15,bad
0,,,,net,0,9.0,9,4.142857142857143,10,bad
2,1451664000,IN,BIGROCK SOLUTIONS LTD,com,0,10.0,10,5.5,9,bad
6,1282406400,RU,BIZCN.COMINC.,by,0,5.0,5,4.5,6,bad
2,1226246400,,RELIABLE SOFTWARE LTD,com,0,10.0,10,2.4,5,bad
2,1448553600,CN,,ru,1,11.0,17,4.333333333333333,6,bad
0,,,RU-CENTER-RU,ro,0,17.0,17,5.333333333333333,7,bad
