num,url:num_ip,reg_time,country,registrar
22585,enisa-europa.org:3,2016-05-15,JP,GMO INTERNET INC. D/B/A ONAMAE.COM
22584,ikhwamweb.com:4,2015-09-29,,PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
22587,defencereview.net:3,2016-04-11,JP,GMO INTERNET INC.
22588,mastconf.com:0,,,
22589,foreignreview.com:3,2016-05-09,JP,GMO INTERNET INC.
22586,ukrainesupport.eu:0,,,
22591,defenceinform.com:4,2015-05-05,,PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
22590,ihhinsaniyardim.org.uk:0,,,
22592,afghanistan-mfa.com:2,2015-09-05,,SHINJIRU MSC SDN BHD
22594,osce-oscc.org:3,2016-05-15,JP,GMO INTERNET INC. D/B/A ONAMAE.COM
22593,globalnewsweekly.com:3,2016-04-03,JP,GMO INTERNET INC.
22579,kitegacc.net:5,2015-05-17,,GMO INTERNET INC. DBA ONAMAE.COM
22595,enisa-europa.com:3,2016-05-15,JP,GMO INTERNET INC.
22597,press-centr.info:2,2015-10-06,IN,SHINJIRU MSC SDN BHD
22598,raveston.com:2,2016-10-16,US,NAMESNAPPER LLC
22599,amaarbaby.com:0,2016-01-14,BD,1&1 INTERNET SE
22604,camncum.com:2,2016-11-26,US,GODADDY.COM LLC
22600,rs-nato.org:0,,,
22601,tinasoftech.com:3,2015-05-11,,PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
22603,osce-press.com:3,2015-07-01,BS,TLD REGISTRAR SOLUTIONS LTD.
22602,uzbekistan-mfa.com:2,2016-01-29,,SHINJIRU MSC SDN BHD
22583,syrianhrc.org:0,,,
22596,worldmilitarytimes.com:2,2017-01-01,US,SILVER DOMAIN NAMES LLC
22607,wsjworld.com:2,2016-03-16,GB,PDR LTD. D/B/A PUBLICDOMAINREGISTRY.COM
22609,unbulletin.com:0,,,
22610,iraqinews.info:0,,,
22606,playerupdate.pw:2,2015-02-05,RU,ERANET INTERNATIONAL LIMITED
22611,caciltd.com:3,2015-11-18,JP,GMO INTERNET INC.
22605,pakarmyforces.com:2,2015-10-15,,SHINJIRU MSC SDN BHD
