tld,dot_num,avg_host,max_host,avg_path,max_path,class
org,1,6.0,9,3.75,9,good
com,0,11.0,11,8.0,8,bad
uk,2,6.666666666666667,15,15.0,27,good
org,1,5.5,9,4.0,4,good
gov,2,3.3333333333333335,4,5.285714285714286,8,good
com,1,3.0,3,3.3333333333333335,5,good
com,0,12.0,12,5.125,7,bad
ru,1,5.5,8,4.0,7,good
org,1,6.5,9,12.5,21,good
int,1,7.5,12,3.3333333333333335,4,good
fr,1,10.0,10,7.0,7,bad
com,1,5.333333333333333,9,8.0,8,bad
com,0,10.0,10,5.111111111111111,8,good
gr,2,3.6666666666666665,5,4.333333333333333,6,good
edu,2,5.666666666666667,7,6.5,7,good
org,1,4.5,6,3.0,4,good
org.cn,1,4.0,5,5.75,8,good
com,1,7.0,9,5.133333333333334,11,good
int,1,3.0,3,5.333333333333333,8,good
co,1,8.5,14,0.0,0,good
org,1,5.5,9,7.0,10,good
com,1,7.0,11,12.0,12,good
fr,0,8.0,8,6.8,16,bad
com,1,6.0,9,5.333333333333333,8,good
com,2,8.333333333333334,16,6.0,6,good
com,0,5.333333333333333,9,6.333333333333333,13,bad
com,1,8.5,14,4.454545454545454,8,good
ms,0,3.0,3,11.0,11,good
org,1,8.0,12,3.5,6,good
com,1,11.0,19,0.0,0,bad
at,1,4.333333333333333,6,5.666666666666667,8,good
org,1,6.0,9,25.333333333333332,36,good
com,0,5.0,5,5.4,9,bad
fi,1,4.5,6,5.5,10,good
ru,0,2.0,3,21.0,55,bad
com,1,6.5,10,2.75,3,good
com.br,0,17.0,17,6.375,18,bad
tk,0,7.0,7,3.3333333333333335,4,bad
es,1,5.5,8,8.0,15,good
com,1,7.0,11,7.666666666666667,10,good
com,0,15.0,15,0.0,0,bad
edu,1,4.5,5,4.333333333333333,6,good
com.au,0,13.0,13,5.666666666666667,9,bad
org.ar,0,3.0,3,8.428571428571429,32,bad
org,0,15.0,15,4.0,6,bad
cz,1,5.5,7,3.25,6,good
gov,1,8.0,9,6.0,9,good
org,0,15.0,15,6.0,10,good
ke,1,6.0,10,3.0,6,bad
com.br,0,17.0,17,4.75,5,bad
com,1,6.5,10,4.0,5,good
ca,2,6.333333333333333,8,3.0,8,good
com,1,3.0,4,5.571428571428571,10,bad
ru,1,4.666666666666667,6,5.25,9,good
com.tr,0,6.0,6,5.333333333333333,9,bad
